"","station","station_id","line_name","entry_exits_period","mean_hourly_entries","mean_hourly_exits"
"252","170 ST","412","4","8:12",662.25,244.525
"253","170 ST","D09","BD","0:4",120.925,158.1
"254","170 ST","D09","BD","12:16",338.575,154.45
"255","170 ST","D09","BD","16:20",264.975,280.075
"256","170 ST","D09","BD","4:8",379.8,45.85
"257","170 ST","D09","BD","8:12",405.725,125.95
"258","174 ST","215","2","0:4",157.95,265.4
"259","174 ST","215","2","12:16",404.975,280.55
"260","174 ST","215","2","16:20",311.35,376.6
"261","174 ST","215","2","4:8",352.6,96.975
"262","174 ST","215","2","8:12",409.125,202.2
"263","174-175 ST","D08","BD","0:4",27.05,30.575
"264","174-175 ST","D08","BD","12:16",251.55,79.525
"265","174-175 ST","D08","BD","16:20",310.25,146.125
"266","174-175 ST","D08","BD","20:0",98.85,75.775
"267","174-175 ST","D08","BD","4:8",119.875,15.75
"268","174-175 ST","D08","BD","8:12",362.05,86.55
"269","175 ST","A07","A","0:4",45.25,113.45
"270","175 ST","A07","A","12:16",653.575,251.225
"271","175 ST","A07","A","16:20",673.4,626.525
"272","175 ST","A07","A","20:0",249.9,394.3
"273","175 ST","A07","A","4:8",261.575,52.225
"274","175 ST","A07","A","8:12",951.05,176.3
"275","176 ST","410","4","0:4",31.55,62.025
"276","176 ST","410","4","12:16",265.05,117.925
"277","176 ST","410","4","16:20",297.625,218.075
"278","176 ST","410","4","20:0",128,143.425
"279","176 ST","410","4","4:8",166.75,32.4
"280","176 ST","410","4","8:12",430.125,122.85
"281","18 AVE","B19","D","0:4",19.625,25.5
"282","18 AVE","B19","D","12:16",230.775,62.875
"283","18 AVE","B19","D","16:20",242.9,192.075
"284","18 AVE","B19","D","20:0",104.8,108.525
"285","18 AVE","B19","D","4:8",167.375,11.275
"286","18 AVE","B19","D","8:12",616.1,48.35
"287","18 AVE","F30","F","0:4",11.4,39.25
"288","18 AVE","F30","F","12:16",176.875,118.25
"289","18 AVE","F30","F","16:20",229.45,248.675
"290","18 AVE","F30","F","20:0",75.35,134.075
"291","18 AVE","F30","F","4:8",83.275,18.4
"292","18 AVE","F30","F","8:12",336.2,167.175
"293","18 AVE","N05","N","0:4",75.95,206.85
"294","18 AVE","N05","N","12:16",253.2,208.1
"295","18 AVE","N05","N","16:20",211.2,477.575
"296","18 AVE","N05","N","4:8",289.475,40.825
"297","18 AVE","N05","N","8:12",432.35,132.7
"298","18 ST","131","1","0:4",62.8,26.975
"299","18 ST","131","1","12:16",357.775,240.125
"300","18 ST","131","1","16:20",713.875,300.325
"301","18 ST","131","1","20:0",309.775,114.3
"302","18 ST","131","1","4:8",24.775,39.775
"303","18 ST","131","1","8:12",266.6,336.925
"304","181 ST","111","1","0:4",68.55,220.625
"305","181 ST","111","1","12:16",558.425,506.5
"306","181 ST","111","1","16:20",695.65,929.45
"307","181 ST","111","1","20:0",320.15,539.875
"308","181 ST","111","1","4:8",191.6,82.35
"309","181 ST","111","1","8:12",761.525,404.725
"310","181 ST","A06","A","0:4",153.275,503.2
"311","181 ST","A06","A","12:16",516.75,373.675
"312","181 ST","A06","A","16:20",445.6,827.225
"313","181 ST","A06","A","4:8",427.225,71.55
"314","181 ST","A06","A","8:12",887.875,208.15
"315","182-183 ST","D06","BD","0:4",26.9,50.1
"316","182-183 ST","D06","BD","12:16",223.025,76.125
"317","182-183 ST","D06","BD","16:20",226.7,158.3
"318","182-183 ST","D06","BD","20:0",108.65,111.75
"319","182-183 ST","D06","BD","4:8",150.925,16.725
"320","182-183 ST","D06","BD","8:12",376.2,71.575
"321","183 ST","408","4","0:4",32.475,72.425
"322","183 ST","408","4","12:16",280.111111111111,120.777777777778
"323","183 ST","408","4","16:20",271.5,265.777777777778
"324","183 ST","408","4","20:0",194.375,210.175
"325","183 ST","408","4","4:8",192.6,21.35
"326","183 ST","408","4","8:12",504.05,99.825
"327","190 ST","A05","A","0:4",13.975,24.625
"328","190 ST","A05","A","12:16",191.225,83.5
"329","190 ST","A05","A","16:20",196.175,138.725
"330","190 ST","A05","A","20:0",61.75,99.65
"331","190 ST","A05","A","4:8",65.4,12.75
"332","190 ST","A05","A","8:12",424.3,54.25
"333","191 ST","110","1","0:4",48,179.75
"334","191 ST","110","1","12:16",374.65,289.4
"335","191 ST","110","1","16:20",483.275,692.075
"336","191 ST","110","1","20:0",204.75,478.75
"337","191 ST","110","1","4:8",172.3,54.55
"338","191 ST","110","1","8:12",624.9,313.1
"339","2 AVE","F14","F","0:4",339.7,187.925
"340","2 AVE","F14","F","12:16",681.7,692.2
"341","2 AVE","F14","F","16:20",1153.15,1310
"342","2 AVE","F14","F","20:0",867.05,980.325
"343","2 AVE","F14","F","4:8",121.25,129.5
"344","2 AVE","F14","F","8:12",887.1,740.475
"345","20 AVE","B20","D","0:4",13.875,21.225
"346","20 AVE","B20","D","12:16",188.95,72.975
"347","20 AVE","B20","D","16:20",178.15,202.675
"348","20 AVE","B20","D","20:0",90.55,102.7
"349","20 AVE","B20","D","4:8",147.625,8.125
"350","20 AVE","B20","D","8:12",487.975,44.925
"351","20 AVE","N06","N","0:4",36.95,104.825
"352","20 AVE","N06","N","12:16",210.75,86.4
"353","20 AVE","N06","N","16:20",139.575,179.3
"354","20 AVE","N06","N","4:8",229.7,47.7
"355","20 AVE","N06","N","8:12",318.15,88.625
"356","207 ST","108","1","0:4",41.85,46.35
"357","207 ST","108","1","12:16",273.1,119.975
"358","207 ST","108","1","16:20",363.35,222.75
"359","207 ST","108","1","20:0",175.75,121.925
"360","207 ST","108","1","4:8",132.95,38.1
"361","207 ST","108","1","8:12",411.1,97.35
"362","21 ST","B04","F","0:4",40.35,133.9
"363","21 ST","B04","F","12:16",403.575,255.125
"364","21 ST","B04","F","16:20",605.975,474.15
"365","21 ST","B04","F","20:0",197.675,320.475
"366","21 ST","B04","F","4:8",135.625,133.075
"367","21 ST","B04","F","8:12",640.2,407.4
"368","215 ST","107","1","0:4",11.25,10.15
"369","215 ST","107","1","12:16",111.7,36.8
"370","215 ST","107","1","16:20",119.15,51.75
"371","215 ST","107","1","20:0",43.925,30.15
