,train,train_stop,stop_id,station,time_travel,stop,line_name,station_id
436,D,D032,D06,"182-183 Sts"D06,210,032,BD,D06
437,D,D033,D05,"Fordham Rd"D05,90,033,BD,D05
438,D,D034,D04,"Kingsbridge Rd"D04,90,034,BD,D04
439,D,D035,D03,"Bedford Park Blvd"D03,120,035,BD,D03
440,D,D036,D01,"Norwood - 205 St"D01,150,036,D,D01
441,E,E01,E01,"World Trade Center"E01,0,01,23ACE,E01
442,E,E02,A34,"Canal St"A34,120,02,ACE,A34
443,E,E03,A33,"Spring St"A33,90,03,ACE,A33
444,E,E04,A32,"W 4 St"A32,120,04,ABCDEFM,A32
445,E,E05,A31,"14 St"A31,150,05,ACEL,A31
446,E,E06,A30,"23 St"A30,90,06,ACE,A30
447,E,E07,A28,"34 St - Penn Station"A28,120,07,ACE,A28
448,E,E08,A27,"42 St - Port Authority Bus Terminal"A27,90,08,1237ACEGNQRS,A27
449,E,E09,A25,"50 St"A25,120,09,ACE,A25
450,E,E010,D14,"7 Av"D14,90,010,BDE,D14
451,E,E011,F12,"5 Av/53 St"F12,90,011,EM,F12
452,E,E012,F11,"Lexington Av/53 St"F11,90,012,6EM,F11
453,E,E013,F09,"Court Sq"719,210,013,7EGM,719
454,E,E014,G21,"Queens Plaza"G21,90,014,EMR,G21
455,E,E015,G14,"Jackson Hts - Roosevelt Av"G14,330,015,7EFMR,G14
456,E,E016,G08,"Forest Hills - 71 Av"G08,420,016,EFMR,G08
457,E,E017,F06,"Kew Gardens - Union Tpke"F06,150,017,EF,F06
458,E,E018,G07,"Jamaica - Van Wyck"G07,180,018,E,G07
