"","station","station_id","entry_exits_period","hourly_entries","hourly_exits"
"324","183 ST","408","20:0",1943.75,2101.75
"325","183 ST","408","4:8",1926,213.5
"326","183 ST","408","8:12",5040.5,998.25
"327","190 ST","A05","0:4",139.75,246.25
"328","190 ST","A05","12:16",1912.25,835
"329","190 ST","A05","16:20",1961.75,1387.25
"330","190 ST","A05","20:0",617.5,996.5
"331","190 ST","A05","4:8",654,127.5
"332","190 ST","A05","8:12",4243,542.5
"333","191 ST","110","0:4",480,1797.5
"334","191 ST","110","12:16",3746.5,2894
"335","191 ST","110","16:20",4832.75,6920.75
"336","191 ST","110","20:0",2047.5,4787.5
"337","191 ST","110","4:8",1723,545.5
"338","191 ST","110","8:12",6249,3131
"339","2 AVE","F14","0:4",3397,1879.25
"340","2 AVE","F14","12:16",6817,6922
"341","2 AVE","F14","16:20",11531.5,13100
"342","2 AVE","F14","20:0",8670.5,9803.25
"343","2 AVE","F14","4:8",1212.5,1295
"344","2 AVE","F14","8:12",8871,7404.75
"345","20 AVE","B20","0:4",138.75,212.25
"346","20 AVE","B20","12:16",1889.5,729.75
"347","20 AVE","B20","16:20",1781.5,2026.75
"348","20 AVE","B20","20:0",905.5,1027
"349","20 AVE","B20","4:8",1476.25,81.25
"350","20 AVE","B20","8:12",4879.75,449.25
"351","20 AVE","N06","0:4",369.5,1048.25
"352","20 AVE","N06","12:16",2107.5,864
"353","20 AVE","N06","16:20",1395.75,1793
"354","20 AVE","N06","4:8",2297,477
"355","20 AVE","N06","8:12",3181.5,886.25
"356","207 ST","108","0:4",418.5,463.5
"357","207 ST","108","12:16",2731,1199.75
"358","207 ST","108","16:20",3633.5,2227.5
"359","207 ST","108","20:0",1757.5,1219.25
"360","207 ST","108","4:8",1329.5,381
"361","207 ST","108","8:12",4111,973.5
"362","215 ST","107","0:4",112.5,101.5
"363","215 ST","107","12:16",1117,368
"364","215 ST","107","16:20",1191.5,517.5
"365","215 ST","107","20:0",439.25,301.5
"366","215 ST","107","4:8",195.75,72.5
"367","215 ST","107","8:12",1094.75,340.25
"368","219 ST","207","0:4",763.75,676.5
"369","219 ST","207","12:16",1502,628.25
"370","219 ST","207","16:20",1193.75,1150
"371","219 ST","207","4:8",2389.75,308
"372","219 ST","207","8:12",1917.25,377
"373","22 AVE-BAY PKY","F32","0:4",213.75,138
"374","22 AVE-BAY PKY","F32","12:16",648.25,252.25
"375","22 AVE-BAY PKY","F32","16:20",602.5,336.25
"376","22 AVE-BAY PKY","F32","4:8",778.5,200.75
"377","22 AVE-BAY PKY","F32","8:12",920.25,291.5
"378","225 ST","206","0:4",847.25,861
"379","225 ST","206","12:16",2220.5,799.25
"380","225 ST","206","16:20",1556.75,1546.75
"381","225 ST","206","4:8",2907.25,298.5
"382","225 ST","206","8:12",2368.25,462.75
"383","23 ST","130","0:4",5545.25,2930.75
"384","23 ST","130","12:16",7730.75,6456.75
"385","23 ST","130","16:20",11983.25,7726.75
"386","23 ST","130","4:8",1041.75,2265
"387","23 ST","130","8:12",5298,7893.75
"388","23 ST","634","0:4",6899.75,3253.75
"389","23 ST","634","12:16",12795.5,9519.75
"390","23 ST","634","16:20",21679.75,10677
"391","23 ST","634","4:8",2275,4765.75
