"","Train","FromStopID","FromStation","FromLine","ToStopID","ToStation","ToLine","TravelTime"
"193","6X","638","""Spring St""","66X6X","639","""Canal St""","66X6X",90
"194","6X","639","""Canal St""","66X6X","640","""Brooklyn Bridge - City Hall""","4566X6X",120
"195","6X","640","""Brooklyn Bridge - City Hall""","4566X6X","637","""Bleecker St""","66X6X",90
"196","6X","637","""Bleecker St""","66X6X","638","""Spring St""","66X6X",60
"197","6X","638","""Spring St""","66X6X","639","""Canal St""","66X6X",90
"198","6X","639","""Canal St""","66X6X","640","""Brooklyn Bridge - City Hall""","4566X6X",120
"200","7","701","""Flushing - Main St""","77X","702","""Mets - Willets Point""","77X",150
"201","7","702","""Mets - Willets Point""","77X","705","""111 St""","7",90
"202","7","705","""111 St""","7","706","""103 St - Corona Plaza""","7",60
"203","7","706","""103 St - Corona Plaza""","7","707","""Junction Blvd""","77X",60
"204","7","707","""Junction Blvd""","77X","708","""90 St - Elmhurst Av""","7",90
"205","7","708","""90 St - Elmhurst Av""","7","709","""82 St - Jackson Hts""","7",60
"206","7","709","""82 St - Jackson Hts""","7","710","""74 St - Broadway""","7",60
"207","7","710","""74 St - Broadway""","7","711","""69 St""","7",90
"208","7","711","""69 St""","7","712","""Woodside - 61 St""","77X",120
"209","7","712","""Woodside - 61 St""","77X","713","""52 St""","7",90
"210","7","713","""52 St""","7","714","""46 St""","7",60
"211","7","714","""46 St""","7","715","""40 St""","7",60
"212","7","715","""40 St""","7","716","""33 St""","7",90
"213","7","716","""33 St""","7","718","""Queensboro Plaza""","77X",120
"214","7","718","""Queensboro Plaza""","77X","719","""Court Sq""","77X",90
"215","7","719","""Court Sq""","77X","720","""Hunters Point Av""","77X",120
"216","7","720","""Hunters Point Av""","77X","721","""Vernon Blvd - Jackson Av""","77X",60
"217","7","721","""Vernon Blvd - Jackson Av""","77X","723","""Grand Central - 42 St""","77X",270
"218","7","723","""Grand Central - 42 St""","77X","724","""5 Av""","77X",90
"219","7","724","""5 Av""","77X","725","""Times Sq - 42 St""","77X",90
"221","7X","701","""Flushing - Main St""","77X","702","""Mets - Willets Point""","77X",180
"222","7X","702","""Mets - Willets Point""","77X","707","""Junction Blvd""","77X",270
"223","7X","707","""Junction Blvd""","77X","712","""Woodside - 61 St""","77X",300
"224","7X","712","""Woodside - 61 St""","77X","718","""Queensboro Plaza""","77X",360
"225","7X","718","""Queensboro Plaza""","77X","719","""Court Sq""","77X",120
"226","7X","719","""Court Sq""","77X","720","""Hunters Point Av""","77X",120
"227","7X","720","""Hunters Point Av""","77X","721","""Vernon Blvd - Jackson Av""","77X",60
"228","7X","721","""Vernon Blvd - Jackson Av""","77X","723","""Grand Central - 42 St""","77X",330
"229","7X","723","""Grand Central - 42 St""","77X","724","""5 Av""","77X",90
"230","7X","724","""5 Av""","77X","725","""Times Sq - 42 St""","77X",90
"232","GS","901","""Grand Central - 42 St""","GS","902","""Times Sq - 42 St""","GS",90
"234","1","101","""Van Cortlandt Park - 242 St""","1","103","""238 St""","1",90
"235","1","103","""238 St""","1","104","""231 St""","1",90
"236","1","104","""231 St""","1","106","""Marble Hill - 225 St""","1",90
"237","1","106","""Marble Hill - 225 St""","1","107","""215 St""","1",90
"238","1","107","""215 St""","1","108","""207 St""","1",60
"239","1","108","""207 St""","1","109","""Dyckman St""","1",90
"240","1","109","""Dyckman St""","1","110","""191 St""","1",90
"241","1","110","""191 St""","1","111","""181 St""","1",90
"242","1","111","""181 St""","1","112","""168 St - Washington Hts""","1",120
"243","1","112","""168 St - Washington Hts""","1","113","""157 St""","1",90
"244","1","113","""157 St""","1","114","""145 St""","1",120
"245","1","114","""145 St""","1","115","""137 St - City College""","1",90
"246","1","115","""137 St - City College""","1","116","""125 St""","1",90
"247","1","116","""125 St""","1","117","""116 St - Columbia University""","1",150
"248","1","117","""116 St - Columbia University""","1","118","""Cathedral Pkwy""","1",60
"249","1","118","""Cathedral Pkwy""","1","119","""103 St""","1",60
"250","1","119","""103 St""","1","120","""96 St""","123",120
"251","1","120","""96 St""","123","121","""86 St""","1",120
"252","1","121","""86 St""","1","122","""79 St""","1",60
"253","1","122","""79 St""","1","123","""72 St""","123",90
"254","1","123","""72 St""","123","124","""66 St - Lincoln Center""","1",90
"255","1","124","""66 St - Lincoln Center""","1","125","""59 St - Columbus Circle""","1",90
"256","1","125","""59 St - Columbus Circle""","1","126","""50 St""","1",120
"257","1","126","""50 St""","1","127","""Times Sq - 42 St""","123",90
"258","1","127","""Times Sq - 42 St""","123","128","""34 St - Penn Station""","123",90
"259","1","128","""34 St - Penn Station""","123","129","""28 St""","1",60
"260","1","129","""28 St""","1","130","""23 St""","1",60
"261","1","130","""23 St""","1","131","""18 St""","1",60
"262","1","131","""18 St""","1","132","""14 St""","123",60
"263","1","132","""14 St""","123","133","""Christopher St - Sheridan Sq""","1",90
"264","1","133","""Christopher St - Sheridan Sq""","1","134","""Houston St""","1",90
"265","1","134","""Houston St""","1","135","""Canal St""","1",120
"266","1","135","""Canal St""","1","136","""Franklin St""","1",60
"267","1","136","""Franklin St""","1","137","""Chambers St""","123",180
"268","1","137","""Chambers St""","123","138","""Cortlandt St""","1",210
"269","1","138","""Cortlandt St""","1","139","""Rector St""","1",150
"270","1","139","""Rector St""","1","140","""South Ferry Loop""","1",210
"272","2","204","""Nereid Av""","25","205","""233 St""","25",90
"273","2","205","""233 St""","25","206","""225 St""","25",90
