"brighton beach" [9, '"allerton ave"']
"wilson av" [1, '"wilson ave"']
"liberty av" [1, '"liberty ave"']
"jefferson av" [2, '"jefferson st"']
"essex st" [4, '"bergen st"']
"168 st" [1, '"167 st"']
"82 st - jackson hts" [4, '"82 st-jackson h"']
"utica av" [1, '"utica ave"']
"lafayette av" [1, '"lafayette ave"']
"newkirk av" [1, '"newkirk ave"']
"36 av" [2, '"36 st"']
"simpson st" [5, '"fulton st"']
"67 av" [1, '"67 ave"']
"bronx park east" [8, '"bay parkway"']
"80 st" [1, '"50 st"']
"lexington av/63 st" [5, '"lexington-53 st"']
"buhre av" [1, '"buhre ave"']
"east broadway" [4, '"28 st-broadway"']
"190 st" [1, '"110 st"']
"church av" [1, '"church ave"']
"chauncey st" [5, '"canal st"']
"18 st" [1, '"14 st"']
"stapleton" [4, '"station"']
"woodhaven blvd" [6, '"northern blvd"']
"forest av" [1, '"forest ave"']
"42 st - bryant pk" [2, '"42 st-bryant pk"']
"st george" [1, '"st. george"']
"queensboro plaza" [2, '"queensboro plz"']
"18 av" [1, '"18 ave"']
"176 st" [1, '"116 st"']
"fort hamilton pkwy" [3, '"ft hamilton pky"']
"50 st" [2, '"103 st"']
"75 st" [1, '"175 st"']
"livonia av" [1, '"livonia ave"']
"e 149 st" [1, '"e 143 st"']
"85 st - forest pkwy" [11, '"15 st-prospect"']
"carroll st" [4, '"canal st"']
"231 st" [1, '"21 st"']
"kosciuszko st" [7, '"houston st"']
"union sq - 14 st" [8, '"union st"']
"norwood av" [1, '"norwood ave"']
"oakwood heights" [10, '"inwood-207 st"']
"kingston - throop avs" [6, '"kingston-throop"']
"cathedral pkwy (110 st)" [9, '"cathedrl-110 st"']
"euclid av" [1, '"euclid ave"']
"gates av" [1, '"gates ave"']
"york st" [3, '"clark st"']
"47-50 sts - rockefeller ctr" [14, '"47-50 st-rock"']
"fresh pond rd" [2, '"fresh pond road"']
"169 st" [1, '"167 st"']
"bushwick av - aberdeen st" [13, '"bushwick ave"']
"crown hts - utica av" [5, '"crown hts-utica"']
"cypress hills" [5, '"cypress ave"']
"bay terrace" [6, '"baychester ave"']
"8 st - nyu" [6, '"8 st-b\'way nyu"']
"dongan hills" [7, '"cypress hills"']
"170 st" [1, '"110 st"']
"215 st" [2, '"110 st"']
"sheepshead bay" [10, '"bay parkway"']
"jay st - metrotech" [3, '"jay st-metrotec"']
"new lots av" [1, '"new lots ave"']
"tremont av" [1, '"tremont ave"']
"233 st" [1, '"231 st"']
"brook av" [1, '"brook ave"']
"graham av" [1, '"graham ave"']
"union st" [3, '"fulton st"']
"avenue p" [3, '"ave p"']
"broadway" [3, '"broad st"']
"westchester sq - e tremont av" [15, '"westchester sq"']
"sutter av" [1, '"sutter ave"']
"116 st" [1, '"110 st"']
"new dorp" [5, '"neck road"']
"avenue i" [3, '"ave i"']
"parkside av" [1, '"parkside ave"']
"woodlawn" [5, '"woodlawn road"']
"jamaica - van wyck" [3, '"jamaica-van wyc"']
"e 105 st" [2, '"e 143 st"']
"cortlandt st" [5, '"cleveland st"']
"21 st - queensbridge" [12, '"61 st/woodside"']
