"","station","is_night","mean_entries","mean_exits"
"367","HIGH ST",0,3206.625,3282.375
"368","HIGH ST",1,4028.92857142857,3074.7619047619
"369","HOUSTON ST",0,1292.9,3270.95
"370","HOUSTON ST",1,1331,760.095238095238
"371","HOWARD BCH-JFK",0,267.214285714286,929.25
"372","HOWARD BCH-JFK",1,100.510204081633,660.510204081633
"373","HOYT ST",0,680.75,1268.625
"374","HOYT ST",1,1465.47619047619,1119.10714285714
"375","HOYT ST-ASTORIA",0,4171.11203818524,2387.94699941568
"376","HOYT ST-ASTORIA",1,1811.38698630137,5448.5102739726
"377","HOYT/SCHERMER",0,3099.45,4121.25
"378","HOYT/SCHERMER",1,4574.28571428571,3954.28571428571
"379","HUDSON-80 ST",0,1648.92857142857,894.857142857143
"380","HUDSON-80 ST",1,353.979591836735,1899.79591836735
"381","HUNTERS PT AVE",0,1119.45,1174.95
"382","HUNTERS PT AVE",1,1014.85714285714,1176.57142857143
"383","HUNTS POINT AVE",0,2218.97368421053,2004.15789473684
"384","HUNTS POINT AVE",1,1203.92857142857,2443.42857142857
"385","INWOOD-207 ST",0,1426.97727272727,1534.15909090909
"386","INWOOD-207 ST",1,456.493506493507,2027.53246753247
"387","JAMAICA CENTER",0,62.6726190476191,37.7625
"388","JAMAICA CENTER",1,46.4405466270628,100.463135878197
"389","JAMAICA-179 ST",0,1040.25,713.21875
"390","JAMAICA-179 ST",1,540.327380952381,2918.75
"391","JAMAICA-VAN WYC",0,2177.67857142857,1424.14285714286
"392","JAMAICA-VAN WYC",1,923.775510204082,1589.69387755102
"393","JEFFERSON ST",0,978.75,2677.05
"394","JEFFERSON ST",1,741.850961538462,4151.82692307692
"395","JFK HOWARD BCH",0,695.875313332845,866.371887218928
"396","JFK HOWARD BCH",1,344.501819587303,497.589252219104
"397","JUNCTION BLVD",0,4469.4375,1874.1875
"398","JUNCTION BLVD",1,2180.83333333333,5927.20238095238
"399","KINGS HIGHWAY",0,2124.02795881126,1235.73318561001
"400","KINGS HIGHWAY",1,1133.89081455806,2814.52772963605
"401","KINGSBRIDGE RD",0,2009.64705882353,1786.54411764706
"402","KINGSBRIDGE RD",1,841.008403361345,2377.39495798319
"403","KNICKERBOCKER",0,2915.25,1796.4375
"404","KNICKERBOCKER",1,881.607142857143,2045.53571428571
"405","KOSCIUSZKO ST",0,2151,3191
"406","KOSCIUSZKO ST",1,1043.80952380952,3534.52380952381
"407","LEXINGTON-53 ST",0,1384.88709677419,3345.87096774194
"408","LEXINGTON-53 ST",1,4108.45622119816,2041.33640552995
"409","LONGWOOD AVE",0,1364.25,1240
"410","LONGWOOD AVE",1,810.714285714286,1248.09523809524
"411","LORIMER ST",0,1255.07692307692,2203.84615384615
"412","LORIMER ST",1,501.208133971292,2358.62440191388
"413","MAIN ST",0,4633.91666666667,3110.80555555556
"414","MAIN ST",1,3481.03174603175,6438.96825396825
"415","MARBLE HILL-225",0,807.375,1734.45
"416","MARBLE HILL-225",1,507.45,3208.05
"417","MARCY AVE",0,1423.55,1634.6
"418","MARCY AVE",1,756.333333333333,1343.04761904762
"419","METROPOLITAN AV",0,2939.89285714286,3855.10714285714
"420","METROPOLITAN AV",1,947.959183673469,2546.12244897959
"421","METS-WILLETS PT",0,782.566063977747,986.34909596662
"422","METS-WILLETS PT",1,339.864238410596,165.53642384106
"423","MIDDLETOWN ROAD",0,930,453.625
"424","MIDDLETOWN ROAD",1,319.285714285714,833.333333333333
"425","MONTROSE AVE",0,4225.5,3925
"426","MONTROSE AVE",1,2615.95238095238,6531.66666666667
"427","MORGAN AVE",0,1797.1875,3494.0625
"428","MORGAN AVE",1,1366.60714285714,4994.64285714286
"429","MORRISON AVE",0,2633.875,1065.625
"430","MORRISON AVE",1,1412.14285714286,3525.2380952381
"431","MOSHOLU PARKWAY",0,844.583333333333,2130.08333333333
"432","MOSHOLU PARKWAY",1,489.52380952381,1986.90476190476
"433","MT EDEN AVE",0,2531.625,1814.8125
"434","MT EDEN AVE",1,2039.82142857143,4173.39285714286
"435","MYRTLE AVE",0,5879.25,5427.375
"436","MYRTLE AVE",1,2037.85714285714,6067.85714285714
"437","MYRTLE-WILLOUGH",0,1492.5,1613.03571428571
"438","MYRTLE-WILLOUGH",1,443.163265306122,1970.20408163265
"439","NASSAU AV",0,1229.41666666667,1652.83333333333
"440","NASSAU AV",1,954.614361702128,2503.52393617021
"441","NEPTUNE AVE",0,495.25,946.75
"442","NEPTUNE AVE",1,301.666666666667,1371.66666666667
"443","NEREID AVE",0,1275.25,2124.75
"444","NEREID AVE",1,622.380952380952,2646.42857142857
"445","NEVINS ST",0,1427.925,1973.775
