"","station","station_id","daily_entries","daily_exits"
"132","72 ST","A22",409.405817693189,350.57721421858
"133","75 AVE","F07",163.113894193106,17.4734540246769
"134","77 ST","627",1693.53569509099,1565.37031311203
"135","77 ST","R43",241.257269730079,110.709455678914
"136","79 ST","122",790.879550265148,404.027440002712
"137","79 ST","B18",283.019147940267,106.553337247079
"138","8 AVE","L01",1165.10597850031,751.880153813111
"139","8 AVE","N02",526.754599248833,562.984114789849
"140","8 ST-B'WAY NYU","R21",817.371822040121,548.368365421329
"141","81 ST-MUSEUM","A21",651.852080579787,523.493973863336
"142","82 ST-JACKSON H","709",686.40229223789,805.05065562241
"143","86 ST","121",934.127734469718,901.983668897935
"144","86 ST","626",2875.15275533686,2564.87423619271
"145","86 ST","A20",507.328443034629,233.724339148824
"146","86 ST","N10",117.865735967927,35.2417842431051
"147","86 ST","R44",531.931334992804,317.054933254031
"148","9 AVE","B12",259.041304024584,278.163464842717
"149","9 ST","R33",372.688676682233,250.827152906277
"150","90 ST-ELMHURST","708",720.543644119663,371.041271298472
"151","96 ST","120",1805.55562686432,1777.68317882054
"152","96 ST","625",1265.57628310708,265.643747270456
"153","96 ST","A19",449.417208931771,350.979986122125
"154","ALABAMA AVE","J24",115.875224964755,107.091634174817
"155","ALLERTON AVE","210",257.189444074091,110.037780401639
"156","AQUEDUCT TRACK","H01",77.0598251810574,8.58800986903824
"157","AQUEDUCT-N CNDT","H02",51.5542226515362,100.74878529122
"158","ASTOR PLACE","636",806.967873485944,859.558564396336
"159","ATLANTIC AVE","L24",82.6191213616471,29.4008888448321
"160","AVE H","D32",130.655387772785,107.146619011954
"161","AVE I","F31",69.7701374137515,71.7729830478472
"162","AVE J","D33",265.274146959834,142.754160392956
"163","AVE M","D34",262.399766499251,107.97295393133
"164","AVE N","F33",155.466933980385,112.702198582362
"165","AVE P","F34",123.043009864373,74.3569822127455
"166","AVE U","D37",309.125902143178,124.285967042131
"167","AVE U","F36",99.6184375847419,41.9715468604056
"168","AVE U","N09",177.053410542779,154.350224964755
"169","AVE X","F38",126.836215359381,84.8031592734038
"170","BARCLAYS CENTER","235",1865.81504721415,1756.20851102887
"171","BAY 50 ST","B23",126.903865979381,40.9784573530708
"172","BAY PARKWAY","B21",327.270262612845,342.061957121132
"173","BAY PKY-22 AVE","N07",326.959929839633,302.284224105648
"174","BAY RIDGE AVE","R42",362.274301655,169.675211900838
"175","BAY RIDGE-95 ST","R45",264.960134519928,178.970262431345
"176","BAYCHESTER AVE","502",182.171546821306,19.8138398243842
"177","BEACH 105 ST","H14",13.1937891157738,16.203944913923
"178","BEACH 25 ST","H10",80.2408017556697,93.0821263165795
"179","BEACH 36 ST","H09",40.1780132520845,43.9643618851049
"180","BEACH 44 ST","H08",27.1745515067626,31.4636925920466
"181","BEACH 60 ST","H07",109.499149152839,116.964431776609
"182","BEACH 67 ST","H06",101.898119140444,112.844482871121
"183","BEACH 90 ST","H12",40.3406502746479,41.0692593561982
"184","BEACH 98 ST","H13",26.1122273945191,27.8076491977808
"185","BEDFORD AVE","L08",1141.1958083154,1174.04554366023
"186","BEDFORD PARK BL","405",271.850478603604,204.494613567372
"187","BEDFORD PARK BL","D03",316.563111705546,217.168567429971
"188","BEDFORD/NOSTRAN","G33",354.779502668429,217.593226106541
"189","BEEBE-39 AVE","R08",150.045047133541,139.756798638546
"190","BERGEN ST","236",169.89098364669,141.880025337838
"191","BERGEN ST","F20",528.678918090331,333.074425261382
"192","BEVERLEY ROAD","D29",123.343208652745,121.542919713925
"193","BEVERLY ROAD","245",196.347287504896,39.9529995348609
"194","BLEECKER ST","637",691.603859430082,261.875921097728
"195","BOROUGH HALL/CT","232",1642.84150953094,1068.54053404118
"196","BOROUGH HALL/CT","R28",0,0
"197","BOTANIC GARDEN","S04",80.6251872411666,102.519129438717
"198","BOWERY","M19",146.786064484389,123.880188048874
"199","BOWLING GREEN","420",1433.91776525166,1274.58449250881
"200","BOYD-88 ST","A60",103.713221436469,48.4626972162172
"201","BRIGHTON BEACH","D40",547.302420183864,383.646583399418
"202","BROAD CHANNEL","H04",13.7023741457777,4.08429253883481
"203","BROAD ST","M23",344.07789618028,97.4005377676447
"204","BROADWAY","G30",178.360689159059,146.351578742204
"205","BROADWAY-31 ST","R05",571.395150925382,499.816121352331
"206","BROADWAY-ENY","A51",420.383495776478,409.311034530771
"207","BROADWAY/LAFAY","D21",1215.90264418039,1405.43283559165
"208","BRONX PARK EAST","212",128.175590352181,53.7472564956261
"209","BROOK AVE","618",279.219819066558,245.471062324867
"210","BROOKLYN BRIDGE","640",980.186216168726,827.109692771442
"211","BURKE AVE","209",160.457201744517,61.2878552801664
"212","BURNSIDE AVE","409",507.377466016221,300.340002092256
"213","BUSHWICK AVE","L21",80.1402616236379,63.6710132317091
"214","CANAL ST","135",313.561677626623,272.532085178824
"215","CANAL ST","639",2160.25085552692,1460.55918032426
"216","CANAL ST","A34",895.079174376597,670.525469204335
"217","CARROLL ST","F21",523.846903153153,239.597571484528
"218","CASTLE HILL AVE","607",335.58542585479,333.657399987357
"219","CATHEDRL-110 ST","A17",333.416929079655,214.821764032073
"220","CENTRAL AVE","M10",156.534764578719,158.692094872565
"221","CHAMBERS ST","137",1087.80426214258,851.878849637681
"222","CHAMBERS ST","A36",1730.14760882016,874.598495095016
"223","CHAMBERS ST","M21",472.91354128954,366.330210181871
"224","CHAUNCEY ST","J28",139.774946030487,68.0843887677328
