"","station","station_id","daily_entries","daily_exits"
"297","HOUSTON ST","134",242.61036036036,343.152252252252
"298","HOYT ST","233",152.996846846847,266.275225225225
"299","HOYT ST-ASTORIA","R03",654.882432432432,237.808558558559
"300","HOYT/SCHERMER","A42",254.731578947368,332.4
"301","HUDSON-80 ST","A59",272.809210526316,85.4504385964912
"302","HUNTERS PT AVE","720",258.36009106933,209.504837446142
"303","HUNTS POINT AVE","613",435.65045045045,259.211711711712
"304","INTERVALE-163","218",127.7,109.542342342342
"305","INWOOD-207 ST","A02",465.030769230769,126.987606837607
"306","JACKSON AVE","220",228.715765765766,38.0094594594595
"307","JAMAICA-179 ST","F01",1391.63144339992,243.003912064238
"308","JAMAICA-VAN WYC","G07",204.521580003917,144.880390716804
"309","JAY ST-METROTEC","A41",901.559401709402,1188.15512820513
"310","JEFFERSON ST","L15",333.538888888889,62.882905982906
"311","JFK HOWARD BCH","H03",158.219658119658,96.2098290598291
"312","JFK JAMAICA CT1","G05",2246.68461538462,1290.18205128205
"313","JUNCTION BLVD","707",1154.66441441441,449.601801801802
"314","JUNIUS ST","254",129.394144144144,41.0621621621622
"315","KINGS HIGHWAY","D35",929.781623931624,434.582051282051
"316","KINGS HIGHWAY","F35",162.265315315315,99.7108108108108
"317","KINGS HIGHWAY","N08",271.098290598291,87.2709401709402
"318","KINGSBRIDGE RD","406",397.698198198198,185.205405405405
"319","KINGSBRIDGE RD","D04",396.776754385965,182.138596491228
"320","KINGSTON AVE","249",218.537387387387,142.155405405405
"321","KINGSTON-THROOP","A47",284.335087719298,168.995614035088
"322","KNICKERBOCKER","M09",159.524455899198,100.88969072165
"323","KOSCIUSZKO ST","J31",200.31452991453,77.4192307692308
"324","LAFAYETTE AVE","A43",153.055701754386,61.5495614035088
"325","LEXINGTON AVE","B08",326.527027027027,704.937837837838
"326","LEXINGTON AVE","R11",0,0
"327","LEXINGTON-53 ST","F11",823.171929824561,2603.63815789474
"328","LIBERTY AVE","A52",110.000438596491,48.4359649122807
"329","LIVONIA AVE","L26",142.880057714336,79.4452308573443
