
"Bowling Green"420,420,"Borough Hall"232,232,0
"Hoyt - Schermerhorn Sts"A42,A42,"Jay St - MetroTech"A41,A41,4783
"Hoyt - Schermerhorn Sts"A42,A42,"Fulton St"G36,G36,0
"Hoyt - Schermerhorn Sts"A42,A42,"Nostrand Av"A46,A46,0
"Hoyt - Schermerhorn Sts"A42,A42,"Bergen St"F20,F20,0
"Hoyt - Schermerhorn Sts"A42,A42,"Lafayette Av"A43,A43,0
"Bergen St"F20,F20,"Jay St - MetroTech"A41,A41,1075
"Bergen St"F20,F20,"Carroll St"F21,F21,0
"Bergen St"F20,F20,"Hoyt - Schermerhorn Sts"A42,A42,0
"Wakefield - 241 St"201,201,"Nereid Av"204,204,41
"Hewes St"M14,M14,"Lorimer St"M13,M13,0
"Hewes St"M14,M14,"Marcy Av"M16,M16,67
"Middletown Rd"603,603,"Pelham Bay Park"601,601,0
"Middletown Rd"603,603,"Westchester Sq - E Tremont Av"604,604,499
"Forest Hills - 71 Av"G08,G08,"Jackson Hts - Roosevelt Av"G14,G14,5098
"Forest Hills - 71 Av"G08,G08,"Kew Gardens - Union Tpke"F06,F06,0
"Forest Hills - 71 Av"G08,G08,"75 Av"F07,F07,0
"Forest Hills - 71 Av"G08,G08,"67 Av"G09,G09,0
"Clark St"231,231,"Borough Hall"232,232,0
"Clark St"231,231,"Wall St"230,230,1329
"Lafayette Av"A43,A43,"Hoyt - Schermerhorn Sts"A42,A42,12
"Lafayette Av"A43,A43,"Clinton - Washington Avs"A44,A44,0
"23 St"D18,D18,"14 St"132,132,0
"23 St"D18,D18,"34 St - Herald Sq"D17,D17,0
"62 St"B16,B16,"71 St"B17,B17,0
"62 St"B16,B16,"55 St"B15,B15,1586
"47-50 Sts - Rockefeller Ctr"D15,D15,"7 Av"D14,D14,0
"47-50 Sts - Rockefeller Ctr"D15,D15,"57 St"B10,B10,0
"47-50 Sts - Rockefeller Ctr"D15,D15,"42 St - Bryant Pk"D16,D16,2293
"47-50 Sts - Rockefeller Ctr"D15,D15,"5 Av/53 St"F12,F12,0
"71 St"B17,B17,"62 St"B16,B16,1555
"71 St"B17,B17,"79 St"B18,B18,0
"Fresh Pond Rd"M04,M04,"Forest Av"M05,M05,270
"Fresh Pond Rd"M04,M04,"Middle Village - Metropolitan Av"M01,M01,0
"Broadway"R05,R05,"30 Av"R04,R04,0
"Broadway"R05,R05,"36 Av"R06,R06,1288
"Christopher St - Sheridan Sq"133,133,"14 St"132,132,0
"Christopher St - Sheridan Sq"133,133,"Houston St"134,134,175
"86 St"A20,A20,"96 St"A19,A19,0
"86 St"A20,A20,"81 St - Museum of Natural History"A21,A21,130
"Westchester Sq - E Tremont Av"604,604,"Castle Hill Av"607,607,552
"Westchester Sq - E Tremont Av"604,604,"Middletown Rd"603,603,0
"Atlantic Av"L24,L24,"Broadway Jct"A51,A51,720
"Atlantic Av"L24,L24,"Sutter Av"L25,L25,0
"174 St"215,215,"Freeman St"216,216,2746
"174 St"215,215,"West Farms Sq - E Tremont Av"214,214,0
"167 St"D10,D10,"161 St - Yankee Stadium"414,414,2021
"167 St"D10,D10,"170 St"D09,D09,0
"East Broadway"F16,F16,"Delancey St"F15,F15,349
"East Broadway"F16,F16,"York St"F18,F18,0
"21 St"G24,G24,"Court Sq"719,719,49
"21 St"G24,G24,"Greenpoint Av"G26,G26,0
"Grant Av"A57,A57,"80 St"A59,A59,0
"Grant Av"A57,A57,"Euclid Av"A55,A55,1457
"18 St"131,131,"23 St"130,130,98
"18 St"131,131,"14 St"132,132,0
"77 St"R43,R43,"86 St"R44,R44,0
"77 St"R43,R43,"Bay Ridge Av"R42,R42,872
"125 St"225,225,"116 St"226,226,501
"125 St"225,225,"135 St"224,224,0
"Jackson Hts - Roosevelt Av"G14,G14,"Forest Hills - 71 Av"G08,G08,0
"Jackson Hts - Roosevelt Av"G14,G14,"Queens Plaza"G21,G21,829
"Jackson Hts - Roosevelt Av"G14,G14,"65 St"G15,G15,0
"Jackson Hts - Roosevelt Av"G14,G14,"Elmhurst Av"G13,G13,0
"Jackson Hts - Roosevelt Av"G14,G14,"21 St - Queensbridge"B04,B04,6755
"Graham Av"L11,L11,"Grand St"L12,L12,0
"Graham Av"L11,L11,"Lorimer St"L10,L10,1988
"3 Av"L05,L05,"1 Av"L06,L06,0
"3 Av"L05,L05,"14 St - Union Sq"635,635,982
"Beverley Rd"D29,D29,"Cortelyou Rd"D30,D30,0
"Beverley Rd"D29,D29,"Church Av"D28,D28,362
"Roosevelt Island"B06,B06,"21 St - Queensbridge"B04,B04,0
"Roosevelt Island"B06,B06,"Lexington Av/63 St"B08,B08,6543
"66 St - Lincoln Center"124,124,"59 St - Columbus Circle"125,125,0
"66 St - Lincoln Center"124,124,"72 St"123,123,0
"Forest Av"M05,M05,"Seneca Av"M06,M06,402
"Forest Av"M05,M05,"Fresh Pond Rd"M04,M04,0
"W 8 St - NY Aquarium"D42,D42,"Ocean Pkwy"D41,D41,0
"W 8 St - NY Aquarium"D42,D42,"Coney Island - Stillwell Av"D43,D43,0
"W 8 St - NY Aquarium"D42,D42,"Neptune Av"F39,F39,114
"Marble Hill - 225 St"106,106,"215 St"107,107,1099
"Marble Hill - 225 St"106,106,"231 St"104,104,0
"Mt Eden Av"411,411,"176 St"410,410,0
"Mt Eden Av"411,411,"170 St"412,412,2199
"Bedford - Nostrand Avs"G33,G33,"Classon Av"G34,G34,195
"Bedford - Nostrand Avs"G33,G33,"Myrtle - Willoughby Avs"G32,G32,0
"103 St"119,119,"Cathedral Pkwy"118,118,0
"103 St"119,119,"96 St"120,120,1600
"9 Av"B12,B12,"Fort Hamilton Pkwy"B13,B13,0
"9 Av"B12,B12,"36 St"R36,R36,1763
"Kingsbridge Rd"406,406,"Bedford Park Blvd - Lehman College"405,405,0
